stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_direction,stop_timezone,vehicle_type,platform_code
created_stop_255,Stop 255,31.985689,35.880828,,شارع بير البطيحات,,,0,,,,,,
created_stop_256,Stop 256,31.986256,35.87909,,Jordan River Hotel,,,0,,,,,,
created_stop_257,Stop 257,31.986962,35.877385,,شارع الشهيد وصفي التل,,,0,,,,,,
created_stop_258,Stop 258,31.987999,35.875795,,,,,0,,,,,,
created_stop_259,Stop 259,31.988958,35.874172,,دوار الواحة y,,,0,,,,,,
created_stop_260,Stop 260,31.989654,35.872469,,Western Union,,,0,,,,,,
created_stop_261,Stop 261,31.99024,35.870732,,شارع الجاردنز,,,0,,,,,,
created_stop_262,Stop 262,31.990826,35.868996,,شارع الشهيد وصفي التل,,,0,,,,,,
created_stop_263,Stop 263,31.991549,35.867296,,شارع الجاردنز,,,0,,,,,,
created_stop_264,Stop 264,31.99232,35.865608,,شارع الشهيد وصفي التل,,,0,,,,,,
created_stop_265,Stop 265,31.993094,35.863922,,شارع الشهيد وصفي التل,,,0,,,,,,
created_stop_266,Stop 266,31.993325,35.862136,,شارع الشهيد وصفي التل,,,0,,,,,,
created_stop_267,Stop 267,31.993745,35.86018,,شارع الشهيد وصفي التل,,,0,,,,,,
created_stop_268,Stop 268,31.994397,35.858653,,شارع الشهيد وصفي التل,,,0,,,,,,
created_stop_269,Stop 269,31.995181,35.856972,,,,,0,,,,,,
created_stop_270,Stop 270,31.996127,35.855344,,,,,0,,,,,,
created_stop_271,Stop 271,31.996729,35.853616,,شارع الشهيد وصفي التل,,,0,,,,,,
created_stop_272,Stop 272,31.997031,35.851834,,فرنجي,,,0,,,,,,
created_stop_273,Stop 273,31.997009,35.850038,,,,,0,,,,,,
created_stop_274,Stop 274,31.996902,35.84824,,شارع عامر بن مالك,,,0,,,,,,
created_stop_275,Stop 275,31.996916,35.84644,,,,,0,,,,,,
created_stop_276,Stop 276,31.997077,35.844645,,شارع الشهيد وصفي التل,,,0,,,,,,
created_stop_277,Stop 277,31.997049,35.842855,,,,,0,,,,,,
created_stop_278,Stop 278,31.996685,35.841081,,UNHCR المفوضية السامية للأمم المتحدة لشؤون اللاجئين,,,0,,,,,,
created_stop_279,Stop 279,31.996617,35.839282,,شارع الشهيد وصفي التل,,,0,,,,,,
created_stop_280,Stop 280,31.996463,35.837487,,Rawhi Pharmacy,,,0,,,,,,
created_stop_281,Stop 281,31.996261,35.835694,,شارع الشهيد وصفي التل,,,0,,,,,,
created_stop_282,Stop 282,31.996008,35.833906,,شارع الشهيد وصفي التل,,,0,,,,,,
created_stop_283,Stop 283,31.995174,35.831504,,شارع سعيد بينو,,,0,,,,,,
created_stop_284,Stop 284,31.994726,35.830484,,دوار خلدا,,,0,,,,,,
created_stop_285,Stop 285,31.993806,35.828846,,شارع الحجاز,,,0,,,,,,
created_stop_286,Stop 286,31.992893,35.827206,,شارع الحجاز,,,0,,,,,,
created_stop_287,Stop 287,31.992752,35.825451,,,,,0,,,,,,
created_stop_288,Stop 288,31.993099,35.823673,,شارع وليد جمال بلقز,,,0,,,,,,
created_stop_289,Stop 289,31.993446,35.821896,,شارع الحجاز,,,0,,,,,,
created_stop_290,Stop 290,31.993897,35.820832,,شارع محمد أحمد طريف,,,0,,,,,,
created_stop_291,Stop 291,31.994078,35.818334,,شارع الحجاز,,,0,,,,,,
created_stop_292,Stop 292,31.994307,35.816546,,شارع الحجاز,,,0,,,,,,
created_stop_293,Stop 293,31.994893,35.814815,,شارع جمعة الشبلي,,,0,,,,,,
created_stop_294,Stop 294,31.995869,35.813202,,شارع الحجاز,,,0,,,,,,
created_stop_295,Stop 295,32.015017,35.868162,,Costa,,,0,,,,,,
created_stop_296,Stop 296,32.013226,35.870091,,Baskin-Robbins,,,0,,,,,,
created_stop_297,Stop 297,32.011917,35.87082,,شارع الملكة رانيا العبد الله,,,0,,,,,,
created_stop_298,Stop 298,32.019888,35.86321,,Bus Rapid Transport,,,0,,,,,,
created_stop_299,Stop 299,32.007511,35.871914,,شارع سليمان الخرابشة,,,0,,,,,,
created_stop_300,Stop 300,32.005734,35.8729,,Total,,,0,,,,,,
created_stop_301,Stop 301,32.003855,35.873807,,Middleton Suites Hotel,,,0,,,,,,
created_stop_302,Stop 302,32.001769,35.873958,,شارع المدينة المنورة,,,0,,,,,,
created_stop_303,Stop 303,31.999877,35.873194,,شارع خليل السالم,,,0,,,,,,
created_stop_304,Stop 304,31.998709,35.872477,,,,,0,,,,,,
created_stop_305,Stop 305,31.996905,35.871469,,شارع المدينة المنورة,,,0,,,,,,
created_stop_306,Stop 306,31.993508,35.87023,,شارع عبدالله العزب,,,0,,,,,,
created_stop_307,Stop 307,31.992415,35.869147,,توتال,,,0,,,,,,
created_stop_308,Stop 308,31.990803,35.868094,,شارع المدينة المنورة,,,0,,,,,,
created_stop_309,Stop 309,31.988925,35.867144,,شارع المدينة المنورة,,,0,,,,,,
created_stop_310,Stop 310,31.987055,35.866396,,,,,0,,,,,,
created_stop_311,Stop 311,31.984841,35.865738,,شارع المدينة المنورة,,,0,,,,,,
created_stop_312,Stop 312,31.982833,35.86497,,شارع المدينة المنورة,,,0,,,,,,
created_stop_313,Stop 313,31.980655,35.86501,,Zayed Cosmetic Dentist,,,0,,,,,,
created_stop_314,Stop 314,31.978489,35.865407,,شارع المدينة المنورة,,,0,,,,,,
created_stop_315,Stop 315,31.976518,35.865443,,شارع المدينة المنورة,,,0,,,,,,
created_stop_316,Stop 316,31.975215,35.85359,,شارع ممدوح الصرايرة,,,0,,,,,,
created_stop_317,Stop 317,31.973044,35.853968,,,,,0,,,,,,
created_stop_318,Stop 318,31.971318,35.854217,,شارع عبد الله غوشة,,,0,,,,,,
created_stop_319,Stop 319,31.9682,35.854919,,,,,0,,,,,,
created_stop_320,Stop 320,31.966653,35.855451,,,,,0,,,,,,
